videoname,original_width,original_height,label,original
aznyksihgl.mp4,129,129,FAKE,xnojggkrxt.mp4
gkwmalrvcj.mp4,129,129,FAKE,hqqmtxvbjj.mp4
lxnqzocgaq.mp4,223,217,FAKE,xjzkfqddyk.mp4
itsbtrrelv.mp4,186,186,FAKE,kqvepwqxfe.mp4
ddvgrczjno.mp4,155,155,FAKE,pluadmqqta.mp4
gaffodreks.mp4,223,223,FAKE,vwtztxpljw.mp4
adovxmilsk.mp4,90,89,FAKE,cqkarxqzxx.mp4
lldtrmyzbe.mp4,108,107,FAKE,yeqqlbhgze.mp4
sjgbiywngj.mp4,185,186,FAKE,dbjmhpklbv.mp4
rumyjhyayo.mp4,89,90,FAKE,yhwkxfpoio.mp4
ycxhekspak.mp4,267,267,FAKE,cgheccdlif.mp4
mlilusapoq.mp4,155,155,FAKE,uonwfowmfa.mp4
uywczsqzcs.mp4,107,107,FAKE,fanejhouma.mp4
lpjusdgyqv.mp4,129,129,FAKE,sotclwmskg.mp4
ilxtrejpxr.mp4,186,186,FAKE,nryzsuekri.mp4
qnyhkzylfn.mp4,129,129,FAKE,pmriwtbcmn.mp4
rghpjsecso.mp4,129,129,FAKE,kaebqtyefo.mp4
mcehvkoidm.mp4,186,185,REAL,
vjyvrugkoe.mp4,186,186,FAKE,rbhecseopz.mp4
jtiideprrg.mp4,185,185,FAKE,yvyugtnzvk.mp4
tykqnrffer.mp4,155,154,FAKE,lamycblfft.mp4
ierqhmpksk.mp4,223,223,FAKE,bdwpyrudti.mp4
dvyixgckvo.mp4,89,90,FAKE,gleoswxbhs.mp4
tzhcjdvaoi.mp4,186,186,FAKE,kpboyfgsii.mp4
dxurmhqxwy.mp4,129,129,FAKE,cxazqtfzta.mp4
nckwwfdpyr.mp4,155,155,FAKE,voqndnufbf.mp4
wzrybcopcd.mp4,223,223,REAL,
qolmlyecjj.mp4,186,185,FAKE,lipwxxllue.mp4
saapkivgiu.mp4,223,223,FAKE,qbxtgiikpc.mp4
ftwkdcwsvc.mp4,74,75,FAKE,jgvqoasjoi.mp4
tvrwjmjeyn.mp4,107,107,REAL,
dznofrvkfp.mp4,223,223,FAKE,nmlovqouaz.mp4
mcvjroxtlf.mp4,267,268,FAKE,evirwnkqms.mp4
lyjorijwdt.mp4,129,129,FAKE,wfnjmnhmax.mp4
xcrjchjjzn.mp4,108,107,FAKE,clkxgilfnl.mp4
glqriykjsl.mp4,129,129,FAKE,blbvdywnbk.mp4
ovkjlyfjcd.mp4,268,267,FAKE,xxnoxvcpxz.mp4
sofdiunesb.mp4,108,108,FAKE,csmezlywcs.mp4
xvzgnwwajx.mp4,185,186,FAKE,knnbozikey.mp4
sdstjytlpe.mp4,186,186,FAKE,gcnjwgjzae.mp4
bdrvacwwat.mp4,129,129,FAKE,zigodhdawk.mp4
koayhruklm.mp4,185,185,FAKE,boobpetndu.mp4
klqcaxcwej.mp4,223,223,FAKE,cjiwsviedd.mp4
lshgrpfbts.mp4,129,129,FAKE,cosdfmtfwa.mp4
